index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
824940,KEY,10/24/2018,15.57,14.89,14335700,4,0.0114,0.9,0.0001,0.9358,86.89,0.0001,0.4682,29.0668,29.8,3.4073,0.0001,3.7762,1484,18.1776,18.22405,-1,0,0,0.285714286
825112,KEY,7/3/2019,16.48,16.52,4519600,3,0.0097,0.91,0.0001,0.8969,82.9,0.0001,0.4581,27.1449,26.69,2.7142,0.0001,2.9126,1736,15.753,15.73205,1,0,0,0.285714286
825290,KEY,3/18/2020,9.21,7.83,17912800,1,0.007,0.93,0.0001,1.1936,83.26,0.0001,0.4409,10.828,22.01,0.9348,0.0001,0.9992,1995,16.7532,16.8282,-1,0,0,0.285714286
828806,KIM,6/22/2007,19.03,18.84,2129700,2,0.0212,2.57,0.0001,1.1975,71,0.0001,0.5449,68.3693,35.9429,2.8394,0.0001,2.8388,812,22.0086,22.05065,-1,0,0,0.333333333
829028,KIM,5/9/2008,19.73,19.75,1255100,2,0.0202,2.57,0.0001,1.2273,71,0.0001,0.551,42.5147,32.8367,2.5846,0.0001,2.584,1134,19.1266,19.087,1,0,0,0.333333333
829073,KIM,7/15/2008,15.51,15.28,7484500,3,0.0208,2.57,0.0001,1.0331,71,0.0001,0.5081,47.6869,31.3216,2.5871,0.0001,2.5866,1201,18.7384,18.7512,-1,0,0,0.333333333
829122,KIM,9/23/2008,20.11,18.83,4625100,3,0.0208,2.57,0.0001,1.0331,71,0.0001,0.5081,47.6869,31.3216,2.5871,0.0001,2.5866,1271,18.3614,18.34605,1,0,0,0.333333333
829135,KIM,10/10/2008,12.54,15.25,11634000,4,0.0214,2.57,0.0001,1.0837,71,0.0001,0.5201,-31.4695,30.4839,-1.509,0.0001,-1.5087,1288,18.1994,18.22245,-1,1,62.09836066,0.333333333
829619,KIM,9/13/2011,9.91,9.92,2853300,3,0.0222,3.03,0.0001,0.8056,72.64,0.0001,0.4462,18.7725,29.4214,0.984,0.0001,0.9838,617,10.821,10.8446,-1,0,0,0.333333333
829723,KIM,2/10/2012,11.43,11.44,4314500,1,0.0228,3.43,0.0001,0.7407,73.8,0.0001,0.4255,16.9937,30.7421,1.0335,0.0001,1.0333,767,10.5622,10.5547,1,1,5.769230769,0.333333333
